var,1,2
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}"
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
Finished,Finished,"{""ImportId"":""finished""}"
IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
Progress,Progress,"{""ImportId"":""progress""}"
Q10,Have you submitted your,"{""ImportId"":""QID10""}"
Q11,"If you have videos of your ManyBabies participants on Databrary (available to other researchers, not just for your lab-internal use), please indicate the volume name. Note that for ease of finding the ManyBabies-related volumes, we request your volume name be of the form: ManyBabies 1: bll-umanitoba (replace bll-umanitoba with your own lab code).","{""ImportId"":""QID11_TEXT""}"
Q12,"If you have any other data from your study that you have shared in some form (e.g. in the Drive folders) that isn’t described above, please describe and indicate its location here:","{""ImportId"":""QID12_TEXT""}"
Q13,Did you submit one or more Protocol Change Forms?,"{""ImportId"":""QID13""}"
Q14,"Did you make any substantive changes to your protocol not reported in a Protocol Change Form? If so, please describe them here.","{""ImportId"":""QID14_TEXT""}"
Q15,Are you still collecting ManyBabies1-related data for - Selected Choice,"{""ImportId"":""QID15""}"
Q15_3_TEXT,Are you still collecting ManyBabies1-related data for - Other? - Text,"{""ImportId"":""QID15_3_TEXT""}"
Q17,How would you rate the overall experience of participating in ManyBabies1?,"{""ImportId"":""QID17""}"
Q18,"Did practices in your lab / your own research change since you started participating in ManyBabies? (For example, did you start preregistering analyses or sharing stimuli?)","{""ImportId"":""QID18""}"
Q19,Please select all that apply: - Selected Choice,"{""ImportId"":""QID19""}"
Q19_9_TEXT,"Please select all that apply: - Other, please explain: - Text","{""ImportId"":""QID19_9_TEXT""}"
Q2,Please indicate your laboratory code (e.g. bll-umanitoba). This is important to match you with your data files and other questionnaires.,"{""ImportId"":""QID2_TEXT""}"
Q20,"Were communication, documentation, and options for getting further information clear to you?","{""ImportId"":""QID20""}"
Q21,What can be done to improve communications and documentation?,"{""ImportId"":""QID21_TEXT""}"
Q22,Did you experience any problems during set-up and/or while running the study?,"{""ImportId"":""QID22""}"
Q23,"Please briefly describe the problem, and whether the problem was ultimately resolved to your satisfaction.","{""ImportId"":""QID23_TEXT""}"
Q24,Did you use Slack and/or personal email to get further information and/or help when needed?,"{""ImportId"":""QID24""}"
Q25,Were you satisfied with the responses?,"{""ImportId"":""QID25""}"
Q26,Who tested the participants in your ManyBabies1 sample? (Check all that apply) - Selected Choice,"{""ImportId"":""QID26""}"
Q26_5_TEXT,Who tested the participants in your ManyBabies1 sample? (Check all that apply) - Other (please specify) - Text,"{""ImportId"":""QID26_5_TEXT""}"
Q27,When was the last participant tested in your lab? (mm/dd/yyyy),"{""ImportId"":""QID27_TEXT""}"
Q28,"If you had been solely in charge of decision-making for ManyBabies1, is there anything you would have done differently (e.g. stimuli, procedures, etc.)?","{""ImportId"":""QID28""}"
Q29,Please describe what you would have done differently.,"{""ImportId"":""QID29_TEXT""}"
Q3,Name of person filling out the form,"{""ImportId"":""QID3_TEXT""}"
Q30,Do you think this impacts the validity of ManyBabies1's findings?,"{""ImportId"":""QID30""}"
Q31,Do you have any other comments or feedback? We welcome any other thoughts you have about the ManyBabies project.,"{""ImportId"":""QID31_TEXT""}"
Q4,Please provide a current contact email for your laboratory (i.e. the person we should talk to if we have questions about your data),"{""ImportId"":""QID4_TEXT""}"
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}"
ResponseId,Response ID,"{""ImportId"":""_recordId""}"
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}"
Status,Response Type,"{""ImportId"":""status""}"
UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
