var,Description,QualtricsJSON,NewColName
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",DistributionChannel
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",Duration (in seconds)
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}",EndDate
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}",ExternalReference
Finished,Finished,"{""ImportId"":""finished""}",Finished
IPAddress,IP Address,"{""ImportId"":""ipAddress""}",IPAddress
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}",LocationLatitude
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}",LocationLongitude
Progress,Progress,"{""ImportId"":""progress""}",Progress
Q1,Laboratory,"{""ImportId"":""QID1_TEXT""}",
Q10,"Please indicate if the planned end date for your data collection is earlier than the main ManyBabies1 end date of April 30, 2018. (Please do not collect data AFTER the formal end date.)","{""ImportId"":""QID10_TEXT""}",
Q12,"Primary ManyBabies1 sample (monolinguals)  What is your stopping criterion for data collection for your ManyBabies1 sample (including ManyBabies1B if you are collecting a bilingual sample)? Note that if circumstances change and you need to alter your stopping criterion, you may do so, provided a) you inform ManyBabies 1 of the change and b) your reasons are not related to the infants' performance in the study or the number of discards. - Selected Choice","{""ImportId"":""QID12""}",
Q12_3_TEXT,"Primary ManyBabies1 sample (monolinguals)  What is your stopping criterion for data collection for your ManyBabies1 sample (including ManyBabies1B if you are collecting a bilingual sample)? Note that if circumstances change and you need to alter your stopping criterion, you may do so, provided a) you inform ManyBabies 1 of the change and b) your reasons are not related to the infants' performance in the study or the number of discards. - Other - Text","{""ImportId"":""QID12_3_TEXT""}",
Q13_1,"For your contribution to the primary ManyBabies1 sample (including monolingual ""control"" samples for ManyBabies-1B, but NOT including the bilingual sample itself), please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. - 3-6 month olds (93-183 days)","{""ImportId"":""QID13_1""}",
Q13_2,"For your contribution to the primary ManyBabies1 sample (including monolingual ""control"" samples for ManyBabies-1B, but NOT including the bilingual sample itself), please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. - 6-9 month olds (184-274 days)","{""ImportId"":""QID13_2""}",
Q13_3,"For your contribution to the primary ManyBabies1 sample (including monolingual ""control"" samples for ManyBabies-1B, but NOT including the bilingual sample itself), please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. - 9-12 month olds (275-365 days)","{""ImportId"":""QID13_3""}",
Q13_4,"For your contribution to the primary ManyBabies1 sample (including monolingual ""control"" samples for ManyBabies-1B, but NOT including the bilingual sample itself), please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. - 12-15 month olds (366-456 days)","{""ImportId"":""QID13_4""}",
Q14,"If you answered ""other"" to any of the age groups in the above question, please specify an exact N here.","{""ImportId"":""QID14_TEXT""}",
Q15,What monolingual language populations(s) will you be testing? (Please provide a minimum half-block from EACH language population you test),"{""ImportId"":""QID15_TEXT""}",
Q18,"Please list your primary sources of infant recruitment (e.g. mailout via the Health department, magazine ads, posters, parenting tradeshows, childcare centers, hospitals, community organizations, etc.) and approximate the percent that come from each (a rough estimate is all weâ€™re looking for). If sample screening occurs during this process (e.g. Health mailouts only to healthy infants), please list those screening factors here.","{""ImportId"":""QID18_TEXT""}",
Q19,"Please briefly describe your recruitment/screening process once contact is made with a participant, but BEFORE the infant enters your lab. Please focus on aspects of this process that may influence who decides to sign up. Any details that are included in your walk-through video do not need to be repeated here. As a reminder, inclusion criteria for ManyBabies include: monolingual, 37+ weeks gestation, typically developing, and normal hearing (see instructions for details). Please avoid excluding infants for reasons not listed in the instructions, however if deviations are necessary due to your lab procedures/ethics approval, please describe them below.","{""ImportId"":""QID19_TEXT""}",
Q2,University,"{""ImportId"":""QID2_TEXT""}",
Q20,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Selected Choice,"{""ImportId"":""QID20""}",
Q20_1_TEXT,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Parking/bus Reimbursement - Text,"{""ImportId"":""QID20_1_TEXT""}",
Q20_2_TEXT,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Toys/books - Text,"{""ImportId"":""QID20_2_TEXT""}",
Q20_4_TEXT,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Cash - Text,"{""ImportId"":""QID20_4_TEXT""}",
Q20_5_TEXT,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Intro Psych Credit - Text,"{""ImportId"":""QID20_5_TEXT""}",
Q20_6_TEXT,How are participants compensated and how much are they given? (Multiple selection will be treated as additive - they get both - unless you indicate otherwise.) - Other - Text,"{""ImportId"":""QID20_6_TEXT""}",
Q21,What level of academic achievement is required for RAs in your lab to be allowed to test infants? Please provide details where relevant. (Multiple selection will be treated as additive requirements unless you indicate otherwise.) - Selected Choice,"{""ImportId"":""QID21""}",
Q21_2_TEXT,"What level of academic achievement is required for RAs in your lab to be allowed to test infants? Please provide details where relevant. (Multiple selection will be treated as additive requirements unless you indicate otherwise.) - Undergraduates with specific coursework (e.g. child development, research methods) - Text","{""ImportId"":""QID21_2_TEXT""}",
Q21_3_TEXT,What level of academic achievement is required for RAs in your lab to be allowed to test infants? Please provide details where relevant. (Multiple selection will be treated as additive requirements unless you indicate otherwise.) - Undergraduates with a minimum grade point average (GPA) - Text,"{""ImportId"":""QID21_3_TEXT""}",
Q21_7_TEXT,What level of academic achievement is required for RAs in your lab to be allowed to test infants? Please provide details where relevant. (Multiple selection will be treated as additive requirements unless you indicate otherwise.) - Other - Text,"{""ImportId"":""QID21_7_TEXT""}",
Q22,"Please briefly describe your training process for RAs, specifically for the method(s) you will be using for the ManyBabies1 project.","{""ImportId"":""QID22_TEXT""}",
Q23,What criteria do you use to determine if an RA is ready (i.e. sufficiently trained) to test babies?,"{""ImportId"":""QID23_TEXT""}",
Q25,Will you be collecting data with an eyetracker? - Selected Choice,"{""ImportId"":""QID25""}",
Q25_2_TEXT,Will you be collecting data with an eyetracker? - Maybe - Text,"{""ImportId"":""QID25_2_TEXT""}",
Q26,Please specify the hardware and software you will be using for eyetracking. Additional details unique to your set-up can be provided in the walk-through video.,"{""ImportId"":""QID26_TEXT""}",
Q27,Will you collect data using a central fixation/single-screen visual paradigm? - Selected Choice,"{""ImportId"":""QID27""}",
Q27_2_TEXT,Will you collect data using a central fixation/single-screen visual paradigm? - Maybe - Text,"{""ImportId"":""QID27_2_TEXT""}",
Q28,Please specify the hardware and software you will be using for central fixation. Additional details unique to your set-up can be provided in  the walk-through video.,"{""ImportId"":""QID28_TEXT""}",
Q29,Will you collect data using a Headturn Preference Procedure set-up (typically 3 screens or lights)? - Selected Choice,"{""ImportId"":""QID29""}",
Q29_2_TEXT,Will you collect data using a Headturn Preference Procedure set-up (typically 3 screens or lights)? - Maybe - Text,"{""ImportId"":""QID29_2_TEXT""}",
Q3,City/Country,"{""ImportId"":""QID3_TEXT""}",
Q30,Please specify the hardware and software you will be using for the Headturn Preference Procedure. Additional details unique to your set-up can be provided in  the walk-through video.,"{""ImportId"":""QID30_TEXT""}",
Q31,Will there be any deviations from the protocol as described in the Instructions? Please read the instructions carefully to ensure that any deviations are documented. Only deviate if failing to do so would be too technically difficult or cause confusion to RAs. - Selected Choice,"{""ImportId"":""QID31""}",
Q31_3_TEXT,Will there be any deviations from the protocol as described in the Instructions? Please read the instructions carefully to ensure that any deviations are documented. Only deviate if failing to do so would be too technically difficult or cause confusion to RAs. - Unsure - Text,"{""ImportId"":""QID31_3_TEXT""}",
Q32,Please succinctly describe the deviations below and the reason  for them (e.g. â€œTrials will be repeated if looking time was less than  1.5 s as we do not have the flexibility to alter this in the softwareâ€ù).,"{""ImportId"":""QID32_TEXT""}",
Q33,Where is the experimenter located? - Selected Choice,"{""ImportId"":""QID33""}",
Q33_2_TEXT,Where is the experimenter located? - In the same room as the participant (please specify the kind of headphones worn by the experimenter and/or other blinding measures) - Text,"{""ImportId"":""QID33_2_TEXT""}",
Q33_4_TEXT,Where is the experimenter located? - Other - Text,"{""ImportId"":""QID33_4_TEXT""}",
Q34,What kind of sound attenuation do you have in your testing room? - Selected Choice,"{""ImportId"":""QID34""}",
Q34_4_TEXT,What kind of sound attenuation do you have in your testing room? - Room with occasional mild/moderate noise from adjacent room(s) - Text,"{""ImportId"":""QID34_4_TEXT""}",
Q34_5_TEXT,What kind of sound attenuation do you have in your testing room? - Other - Text,"{""ImportId"":""QID34_5_TEXT""}",
Q35,"Is the infant held by a caregiver/experimenter during testing? If you select multiple answers to this question (e.g. some babies are held, some are in a seat), please ensure to provide information about which babies are held when you send your dataset.","{""ImportId"":""QID35""}",
Q36,What headphones are used for the caregiver (or experimenter holding the infant)'s masking music? Please list an explicit brand name.,"{""ImportId"":""QID36_TEXT""}",
Q37,What kind of looking time data will you be providing? - Selected Choice,"{""ImportId"":""QID37""}",
Q37_4_TEXT,"What kind of looking time data will you be providing? - Offline, human-coded, fixed trial length (Please provide information about your coding practices/software) - Text","{""ImportId"":""QID37_4_TEXT""}",
Q37_5_TEXT,What kind of looking time data will you be providing? - Other - Text,"{""ImportId"":""QID37_5_TEXT""}",
Q38,"What decibel level are the stimuli measured at in your testing booth? IMPORTANT: Please measure dBA and use the separate reference audio file provided to take your measurement so that we can accurately compare one lab to another. We also ask you to take a measure without the stimuli so that we can calculate the signal-to-noise ratio. Please include the phrase ""using reference audio"" in your answer here in addition to the numerical value (e.g. ""70 dBA using reference audio, 20 dBA without"") to indicate that you saw and understood this edited version of the instructions. 5/4/2017","{""ImportId"":""QID38_TEXT""}",
Q39_1,Please describe (approximately) how often you test/check each of the following after initial set-up - Sound stimuli,"{""ImportId"":""QID39_1""}",
Q39_2,Please describe (approximately) how often you test/check each of the following after initial set-up - Masking Music,"{""ImportId"":""QID39_2""}",
Q39_3,Please describe (approximately) how often you test/check each of the following after initial set-up - Visual Display,"{""ImportId"":""QID39_3""}",
Q40,Attachments    Please confirm that you are sending separately (via the Google Drive folder) the following items,"{""ImportId"":""QID40""}",
Q41,"Is there anything else we should know that we didn't ask about? If so, please provide that information here!","{""ImportId"":""QID41_TEXT""}",
Q42,Will you be contributing data to...,"{""ImportId"":""QID42""}",
