var,Description,QualtricsJSON,NewColName
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",DistributionChannel
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",Duration_seconds
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}",EndDate
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}",ExternalReference
Finished,Finished,"{""ImportId"":""finished""}",Finished
IPAddress,IP Address,"{""ImportId"":""ipAddress""}",IPAddress
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}",LocationLatitude
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}",LocationLongitude
Progress,Progress,"{""ImportId"":""progress""}",Progress
Q1,"On a scale of 1 (not at all) - 7 (exclusively), to what extent does your lab study language development?","{""ImportId"":""QID1""}",Lab_studies_lang
Q10,"What colour(s) are the walls in your testing room or the booth you  test children in? (if there are multiple colors, list them all, please)","{""ImportId"":""QID10_TEXT""}",TestingRoom_walls
Q11,How dark is the lighting during testing?,"{""ImportId"":""QID11""}",RoomLighting
Q13,"At a minimum, how many lab members are needed to run an MB1 session in your lab? (If this question is inappropriate for your lab, please explain.)","{""ImportId"":""QID13_TEXT""}",Experimenters_perSession
Q14,"In the space where Caregivers and families sit to fill out paperwork and 'warm up', how much visual clutter is there? - Selected Choice","{""ImportId"":""QID14""}",WaitingArea_visualClutter
Q14_5_TEXT,"In the space where Caregivers and families sit to fill out paperwork and 'warm up', how much visual clutter is there? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID14_5_TEXT""}",WaitingArea_visualClutter_NAexplain
Q15,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your greeting/warmup room is? - Selected Choice","{""ImportId"":""QID15""}",WaitingArea_peaceful
Q15_8_TEXT,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your greeting/warmup room is? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID15_8_TEXT""}",WaitingArea_peaceful_NAexplain
Q16,How far apart are the greeting room (where families fill out paperwork and 'warm up') and the room where the MB1 experiment happens? - Selected Choice,"{""ImportId"":""QID16""}",Distance_waitingToTesting
Q16_5_TEXT,How far apart are the greeting room (where families fill out paperwork and 'warm up') and the room where the MB1 experiment happens? - This doesn't apply to my lab (please explain) - Text,"{""ImportId"":""QID16_5_TEXT""}",Distance_waitingToTesting_WaitingArea_visualClutter_explain
Q17,Which of the following matches the typical experience for families participating in MB1 in your lab? - Selected Choice,"{""ImportId"":""QID17""}",FamilyExperience
Q17_4_TEXT,Which of the following matches the typical experience for families participating in MB1 in your lab? - Other (please explain) - Text,"{""ImportId"":""QID17_4_TEXT""}",FamilyExperience_explain
Q18,"How large in width/depth is the testing room (or booth/section, if applicable) where the baby & caregiver sit during MB1? (e.g. 4 feet by 5 feet) If this question is inappropriate for your lab, please explain.","{""ImportId"":""QID18_TEXT""}",TestingRoom_size
Q19,"In the space where babies and caregivers sit for the experimental testing for MB1, how much visual clutter is there? - Selected Choice","{""ImportId"":""QID19""}",TestingRoom_visualClutter
Q19_5_TEXT,"In the space where babies and caregivers sit for the experimental testing for MB1, how much visual clutter is there? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID19_5_TEXT""}",WaitingArea_size_NAexplain
Q2,"On a scale of 1 (not at all) to 7 (completely), and considering participant age, experimental set-up, etc., to what extent was this study a new METHODOLOGICAL approach for your lab?","{""ImportId"":""QID2""}",NewMethod
Q20,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your testing room is? - Selected Choice","{""ImportId"":""QID20""}",TestingRoom_peaceful
Q20_8_TEXT,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your testing room is? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID20_8_TEXT""}",TestingRoom_peaceful_NAexplain
Q21,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - Selected Choice","{""ImportId"":""QID21""}",WaitingArea_otherUses
Q21_1_TEXT,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - Yes (please explain) - Text","{""ImportId"":""QID21_1_TEXT""}",WaitingArea_otherUses_Yexplain
Q21_3_TEXT,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID21_3_TEXT""}",WaitingArea_otherUses_NAexplain
Q22,How large is your visual display for MB1 (i.e. the checkerboard) in inches (e.g. 8 inches by 10 inches),"{""ImportId"":""QID22_TEXT""}",VisualDisplay_inches
Q23,Did an experimenter stay in the room with the infant during testing? If so was any part of the experimenter visible to the infant during testing? - Selected Choice,"{""ImportId"":""QID23""}",Experimenter_visibleToInfant
Q23_3_TEXT,Did an experimenter stay in the room with the infant during testing? If so was any part of the experimenter visible to the infant during testing? - This doesn't apply to my lab (please explain) - Text,"{""ImportId"":""QID23_3_TEXT""}",Experimenter_visibleToInfant_NAexplain
Q24,"How, if at all, were caregivers participating in MB1 kept from hearing the experiment? - Selected Choice","{""ImportId"":""QID24""}",Caregiver_hearTask
Q24_5_TEXT,"How, if at all, were caregivers participating in MB1 kept from hearing the experiment? - This doesn't apply to my lab/other (please explain) - Text","{""ImportId"":""QID24_5_TEXT""}",Caregiver_hearTask_NAexplain
Q25,"How, if at all, were caregivers participating in MB1 kept from seeing the experiment? - Selected Choice","{""ImportId"":""QID25""}",Caregiver_seeTask
Q25_4_TEXT,"How, if at all, were caregivers participating in MB1 kept from seeing the experiment? - This doesn't apply to my lab/other (please explain) - Text","{""ImportId"":""QID25_4_TEXT""}",Caregiver_seeTask_NAexplain
Q3,What is your lab code (e.g. bll-umanitoba),"{""ImportId"":""QID3_TEXT""}",LabID
Q5,"Prior to collecting data from their first ""official"" ManyBabies participant, approximately how much experience did this person have collecting experimental data with participants under the age of 4 years? You should include in your answer any experience they go during piloting for the MB1 study itself. (Please provide your best guess if you are unsure.)","{""ImportId"":""QID5""}",Experimenter_infant_toddler_experience
