var,Description,QualtricsJSON,NewColName
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",DistributionChannel
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",Duration (in seconds)
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}",EndDate
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}",ExternalReference
Finished,Finished,"{""ImportId"":""finished""}",Finished
IPAddress,IP Address,"{""ImportId"":""ipAddress""}",IPAddress
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}",LocationLatitude
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}",LocationLongitude
Progress,Progress,"{""ImportId"":""progress""}",Progress
Q1,"On a scale of 1 (not at all) - 7 (exclusively), to what extent does your lab study language development?","{""ImportId"":""QID1""}",
Q10,"What colour(s) are the walls in your testing room or the booth you  test children in? (if there are multiple colors, list them all, please)","{""ImportId"":""QID10_TEXT""}",
Q11,How dark is the lighting during testing?,"{""ImportId"":""QID11""}",
Q13,"At a minimum, how many lab members are needed to run an MB1 session in your lab? (If this question is inappropriate for your lab, please explain.)","{""ImportId"":""QID13_TEXT""}",
Q14,"In the space where Caregivers and families sit to fill out paperwork and 'warm up', how much visual clutter is there? - Selected Choice","{""ImportId"":""QID14""}",
Q14_5_TEXT,"In the space where Caregivers and families sit to fill out paperwork and 'warm up', how much visual clutter is there? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID14_5_TEXT""}",
Q15,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your greeting/warmup room is? - Selected Choice","{""ImportId"":""QID15""}",
Q15_8_TEXT,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your greeting/warmup room is? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID15_8_TEXT""}",
Q16,How far apart are the greeting room (where families fill out paperwork and 'warm up') and the room where the MB1 experiment happens? - Selected Choice,"{""ImportId"":""QID16""}",
Q16_5_TEXT,How far apart are the greeting room (where families fill out paperwork and 'warm up') and the room where the MB1 experiment happens? - This doesn't apply to my lab (please explain) - Text,"{""ImportId"":""QID16_5_TEXT""}",
Q17,Which of the following matches the typical experience for families participating in MB1 in your lab? - Selected Choice,"{""ImportId"":""QID17""}",
Q17_4_TEXT,Which of the following matches the typical experience for families participating in MB1 in your lab? - Other (please explain) - Text,"{""ImportId"":""QID17_4_TEXT""}",
Q18,"How large in width/depth is the testing room (or booth/section, if applicable) where the baby & caregiver sit during MB1? (e.g. 4 feet by 5 feet) If this question is inappropriate for your lab, please explain.","{""ImportId"":""QID18_TEXT""}",
Q19,"In the space where babies and caregivers sit for the experimental testing for MB1, how much visual clutter is there? - Selected Choice","{""ImportId"":""QID19""}",
Q19_5_TEXT,"In the space where babies and caregivers sit for the experimental testing for MB1, how much visual clutter is there? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID19_5_TEXT""}",
Q2,"On a scale of 1 (not at all) to 7 (completely), and considering participant age, experimental set-up, etc., to what extent was this study a new METHODOLOGICAL approach for your lab?","{""ImportId"":""QID2""}",
Q20,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your testing room is? - Selected Choice","{""ImportId"":""QID20""}",
Q20_8_TEXT,"On a scale from 1 (very peaceful) to 7 (very stimulating), how peaceful/stimulating would you say your testing room is? - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID20_8_TEXT""}",
Q21,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - Selected Choice","{""ImportId"":""QID21""}",
Q21_1_TEXT,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - Yes (please explain) - Text","{""ImportId"":""QID21_1_TEXT""}",
Q21_3_TEXT,"Is this room/space used for anything other than the MB1 experiment or similar setups (e.g. for the warmup/family play area, other studies that require significant rearrangement of the space) - This doesn't apply to my lab (please explain) - Text","{""ImportId"":""QID21_3_TEXT""}",
Q22,How large is your visual display for MB1 (i.e. the checkerboard) in inches (e.g. 8 inches by 10 inches),"{""ImportId"":""QID22_TEXT""}",
Q23,Did an experimenter stay in the room with the infant during testing? If so was any part of the experimenter visible to the infant during testing? - Selected Choice,"{""ImportId"":""QID23""}",
Q23_3_TEXT,Did an experimenter stay in the room with the infant during testing? If so was any part of the experimenter visible to the infant during testing? - This doesn't apply to my lab (please explain) - Text,"{""ImportId"":""QID23_3_TEXT""}",
Q24,"How, if at all, were caregivers participating in MB1 kept from hearing the experiment? - Selected Choice","{""ImportId"":""QID24""}",
Q24_5_TEXT,"How, if at all, were caregivers participating in MB1 kept from hearing the experiment? - This doesn't apply to my lab/other (please explain) - Text","{""ImportId"":""QID24_5_TEXT""}",
Q25,"How, if at all, were caregivers participating in MB1 kept from seeing the experiment? - Selected Choice","{""ImportId"":""QID25""}",
Q25_4_TEXT,"How, if at all, were caregivers participating in MB1 kept from seeing the experiment? - This doesn't apply to my lab/other (please explain) - Text","{""ImportId"":""QID25_4_TEXT""}",
Q3,What is your lab code (e.g. bll-umanitoba),"{""ImportId"":""QID3_TEXT""}",
Q5,"Prior to collecting data from their first ""official"" ManyBabies participant, approximately how much experience did this person have collecting experimental data with participants under the age of 4 years? You should include in your answer any experience they go during piloting for the MB1 study itself. (Please provide your best guess if you are unsure.)","{""ImportId"":""QID5""}",
Q6,"Prior to collecting data for ManyBabies (including pilot data), approximately how long had this person been working in infant experimental research including time in your laboratory and in other laboratories?","{""ImportId"":""QID6""}",
Q7,"On average over the course of the study, how many hours per week was this person working in the laboratory during the testing period?","{""ImportId"":""QID7""}",
Q9,"Approximately how far (in distance) is your laboratory from the parking lot where participants typically park or the nearest stop when they arrive by public transport? Please be sure to include the unit of distance (e.g. feet, meters). (If this question is inappropriate for your lab, please explain.)","{""ImportId"":""QID9_TEXT""}",
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}",RecipientEmail
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}",RecipientFirstName
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}",RecipientLastName
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}",RecordedDate
ResponseId,Response ID,"{""ImportId"":""_recordId""}",ResponseId
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}",StartDate
Status,Response Type,"{""ImportId"":""status""}",Status
UserLanguage,User Language,"{""ImportId"":""userLanguage""}",UserLanguage
