StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q11,Q1,Q2,Q4,Q4_2_TEXT,Q4_3_TEXT,Q6,Q6_4_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q5,Q7,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please list your lab ID here (e.g. bll-umanitoba),Which study(ies) are you registering a protocol change for? (check all that apply),I would like to,"Please describe clearly your reason for the change, and confirm in your explanation that the decision was NOT influenced by knowledge of the data collected so far. In particular, it is important that your decision was not influenced by a higher (or lower) than expected ""fuss-out rate"" or by any emerging characteristics of the data.",This change took effect: - Selected Choice,This change took effect: - Starting on a specific date (please list) - Text,This change took effect: - Other (please describe) - Text,Please describe your changed stopping rule: - Selected Choice,Please describe your changed stopping rule: - Other (please specify) - Text,Please list the new number for each age group you are testing - 3-6 months (93-183 days),Please list the new number for each age group you are testing - 6-9 months (184-274 days),Please list the new number for each age group you are testing - 9-12 months (275-365 days),Please list the new number for each age group you are testing - 12-15 months (366-456 days),"If you selected ""other"" for any of the age groups, please list your N here.",Please describe as clearly and fully as possible the changes to your protocol that you wish to register.,Please add any additional information you would like to register here regarding your protocol change.
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_2_TEXT""}","{""ImportId"":""QID4_3_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}"
2017-05-03 11:57:41,2017-05-03 12:15:43,IP Address,136.165.37.142,100,1082,True,2017-05-03 12:15:45,R_1jBw1YKdHFlpcP4,,,,,38.188995361328,-85.676803588867,anonymous,EN,infantcog-uofl,ManyBabies1,"update or revise my number and/or age distribution of participants,update or revise my procedure","Because of limited funding, we need to pare down our commitment from two full age groups to one and from two testing methods to one.  This decision was in no way influenced by fuss-out rate or any emerging characteristics of the data. We are in the beginning stages of setting up the study in our lab. We have not collected any data yet. ",At the start of data collection,,,,,,,32,,,"We need to pare down the age group from two full-blocks of 9-12 and 12-15 to one full-block (N=32) of 9-12 month-olds. Additionally, we need to pare down the procedure to include only single presentation (Habit). We will not use eye-tracking.  ","I was unable to get the Sign-up form to uncheck the 12-15-month-old full-block, so your records may still indicate that we intend to test two age groups, but we only intend to test one, i,e., 9-12-month-olds. Hopefully you can get this changed."
2017-05-03 12:37:06,2017-05-03 12:37:19,IP Address,132.206.214.10,100,12,True,2017-05-03 12:37:20,R_bgE7dweqFRvo2uR,,,,,45.503997802734,-73.574699401855,anonymous,EN,,,,,,,,,,,,,,,,
2017-05-09 11:06:54,2017-05-09 11:07:05,IP Address,128.186.188.19,100,11,True,2017-05-09 11:07:05,R_1CJVqscc0cELKkD,,,,,30.442504882812,-84.298599243164,anonymous,EN,,,,,,,,,,,,,,,,
2017-05-17 09:53:30,2017-05-17 09:55:11,IP Address,144.32.108.32,100,101,True,2017-05-17 09:55:12,R_1OVrzkKRaZFAvkv,,,,,53.966705322266,-1.0832977294922,anonymous,EN,babylab-york,ManyBabies1,update or revise my number and/or age distribution of participants,"We ran two babies with the previous attention getter. We'll replace them so that we can send data from two groups of n=16 each, as planned originally, using the new attention getter.",Starting on a specific date (please list),17 May 2017,,,,,16,16,,,,
2017-06-02 15:45:37,2017-06-02 15:48:36,IP Address,130.179.244.22,100,179,True,2017-06-02 15:48:37,R_RksYTwIjEY7emZP,,,,,49.814300537109,-97.153099060059,anonymous,EN,bll-umanitoba,ManyBabies1,update or revise my number and/or age distribution of participants,"We had to exclude our first baby in the 9-12 month range because of a protocol difference. We were running with contingent audio and discovered we were the only HPP lab doing this, so we altered our protocol to be non-contingent audio. For this reason our first baby is listed as ""experimenter error"". We are going to replace that baby with a 17th baby in that age category, so it was a ""set up"" issue.",Starting on a specific date (please list),"June 2, 2017",,,,,,,,,,
2017-06-05 10:33:28,2017-06-05 10:39:53,IP Address,144.32.108.32,100,384,True,2017-06-05 10:39:54,R_d4fxIWYidQVuHWV,,,,,53.966705322266,-1.0832977294922,anonymous,EN,babylab-york,ManyBabies1,Other,"We submitted sound level readings that were not in dBA. Here are our revised readings:  Sound level measurements in babylab booth with reference file playing: 76 dBA  In quiet booth (with no sound file playing): 30 dBA  ",Other (please describe),,We didn't change anything apart from the way we measured it,,,,,,,,,
2017-06-05 13:39:11,2017-06-05 13:48:10,IP Address,132.239.182.168,100,538,True,2017-06-05 13:48:11,R_1mP3D24jARKaoGl,,,,,32.880706787109,-117.23590087891,anonymous,EN,UCSD Mind and Development Lab,ManyBabies1,update or revise my number and/or age distribution of participants,No data have yet been collected and this was not influenced by the data.  Previously we  thought the older age range was free (11-15 months) however it is now needed for another study in the lab. As a result we would like to switch to a different age range to one that is not needed for a different study in the lab.  In addition we have been having challenges with infant recruitment which lead us to sign up for only 16 babies. Depending on success at recruitment we may be able to sign up for an additional 16 later.,At the start of data collection,,,,,,16,,,,,
2017-06-08 04:09:41,2017-06-08 09:31:39,IP Address,134.100.145.110,100,19317,True,2017-06-08 09:31:40,R_spRAXRC4L8vNTq1,,,,,53.555297851562,9.9949951171875,anonymous,EN,koku-hamburg,ManyBabies1,update or revise my procedure,"we piloted 6 infants with Jhab set up next to tobii studio, but as we are not used to live-coding it seems to be a lot of effort and time to train the RAs. But as we have to finish data collection this semester we don't have any time left for training, that's why we decided to go back to fixed trial length.",Other (please describe),,after piloting,,,,,,,,"We present the stimuli and record eye-tracking data with tobii studio. Attention getter will be forwarded with button press when the infant looks at the stimuli for 1 sec. Test-videos will end after 18 sec. ","db of the stimuli are around 70 db, reference signal db will be send next week, also the lab walk through video"
